query,template,length,identity,similarity,gaps,score,score_rank
TARGET_SEQ,1E9H_A,295.0,100.0,100.0,0.0,1545.0,1.0
TARGET_SEQ,1FQ1_B,295.0,100.0,100.0,0.0,1545.0,1.0
TARGET_SEQ,1FIN_A,298.0,99.0,99.0,1.0,1535.0,2.0
TARGET_SEQ,1FVV_A,298.0,99.0,99.0,1.0,1535.0,2.0
TARGET_SEQ,1CM8_A,356.0,30.3,44.1,25.3,446.0,3.0
